k,genes,combo_auc,best_individual_auc,synergy_score
4,SMG1P5 | TINAGL1 | NR4A1 | LOC112268270,0.6744,0.5473,0.1271
4,MAP3K2-DT | TINAGL1 | NR4A1 | ENSG00000279656,0.6724,0.5473,0.1251
4,ANGPT2 | SNORD97 | CKMT2 | ENSG00000279656,0.6691,0.5986,0.0705
4,SMG1P5 | SNORD97 | TINAGL1 | ENSG00000279656,0.6688,0.5698,0.099
4,SMG1P5 | ANGPT2 | MAP3K2-DT | NR4A1,0.6677,0.5986,0.0691
4,TINAGL1 | NR4A1 | ENSG00000279656 | LOC112268270,0.6667,0.5473,0.1194
4,ANGPT2 | MAP3K2-DT | SNORD97 | ENSG00000279656,0.666,0.5986,0.0674
4,ANGPT2 | MAP3K2-DT | CKMT2 | ENSG00000279656,0.666,0.5986,0.0674
4,SMG1P5 | ANGPT2 | NR4A1 | ENSG00000279656,0.6658,0.5986,0.0672
4,MAP3K2-DT | SNORD97 | TINAGL1 | NR4A1,0.6658,0.5698,0.096
4,SNORD97 | TINAGL1 | CKMT2 | NR4A1,0.6657,0.5891,0.0766
4,SMG1P5 | TINAGL1 | CKMT2 | ENSG00000279656,0.6656,0.5891,0.0765
4,ANGPT2 | MAP3K2-DT | ENSG00000279656 | LOC112268270,0.6654,0.5986,0.0668
4,SMG1P5 | TINAGL1 | NR4A1 | ENSG00000279656,0.6634,0.5473,0.1161
4,SMG1P5 | ANGPT2 | SNORD97 | ENSG00000279656,0.6626,0.5986,0.064
4,SMG1P5 | ANGPT2 | ENSG00000279656 | LOC112268270,0.6625,0.5986,0.0639
4,ANGPT2 | TINAGL1 | NR4A1 | LOC112268270,0.6624,0.5986,0.0638
4,SNORD97 | TINAGL1 | CKMT2 | ENSG00000279656,0.6624,0.5891,0.0733
4,SMG1P5 | SNORD97 | NR4A1 | ENSG00000279656,0.6616,0.5698,0.0918
4,ANGPT2 | MAP3K2-DT | NR4A1 | LOC112268270,0.6615,0.5986,0.0629
4,SNORD97 | CKMT2 | NR4A1 | ENSG00000279656,0.6606,0.5891,0.0715
4,ANGPT2 | MAP3K2-DT | TINAGL1 | ENSG00000279656,0.66,0.5986,0.0614
4,SMG1P5 | MAP3K2-DT | CKMT2 | NR4A1,0.6598,0.5891,0.0707
4,SMG1P5 | MAP3K2-DT | TINAGL1 | NR4A1,0.6588,0.5473,0.1115
4,ANGPT2 | CKMT2 | NR4A1 | ENSG00000279656,0.6587,0.5986,0.0601
4,TINAGL1 | CKMT2 | NR4A1 | LOC112268270,0.6584,0.5891,0.0693
4,SMG1P5 | MAP3K2-DT | SNORD97 | NR4A1,0.6575,0.5698,0.0877
4,SMG1P5 | MAP3K2-DT | TINAGL1 | CKMT2,0.657,0.5891,0.0679
4,ANGPT2 | MAP3K2-DT | SNORD97 | CKMT2,0.6568,0.5986,0.0582
4,SNORD97 | TINAGL1 | ENSG00000279656 | LOC112268270,0.6558,0.5698,0.086
4,MAP3K2-DT | SNORD97 | NR4A1 | LOC112268270,0.6557,0.5698,0.0859
4,SNORD97 | TINAGL1 | NR4A1 | LOC112268270,0.6552,0.5698,0.0854
4,SNORD97 | NR4A1 | ENSG00000279656 | LOC112268270,0.6551,0.5698,0.0853
4,ANGPT2 | SNORD97 | TINAGL1 | NR4A1,0.6544,0.5986,0.0558
4,ANGPT2 | MAP3K2-DT | TINAGL1 | CKMT2,0.6539,0.5986,0.0553
4,ANGPT2 | SNORD97 | NR4A1 | LOC112268270,0.6537,0.5986,0.0551
4,ANGPT2 | TINAGL1 | CKMT2 | NR4A1,0.6537,0.5986,0.0551
4,SMG1P5 | CKMT2 | NR4A1 | ENSG00000279656,0.6534,0.5891,0.0643
4,ANGPT2 | CKMT2 | ENSG00000279656 | LOC112268270,0.6532,0.5986,0.0546
4,ANGPT2 | NR4A1 | ENSG00000279656 | LOC112268270,0.6529,0.5986,0.0543
4,SMG1P5 | ANGPT2 | CKMT2 | ENSG00000279656,0.6527,0.5986,0.0541
4,MAP3K2-DT | TINAGL1 | NR4A1 | LOC112268270,0.6523,0.5473,0.105
4,MAP3K2-DT | SNORD97 | TINAGL1 | ENSG00000279656,0.6512,0.5698,0.0814
4,MAP3K2-DT | CKMT2 | NR4A1 | LOC112268270,0.6509,0.5891,0.0618
4,MAP3K2-DT | TINAGL1 | CKMT2 | ENSG00000279656,0.6498,0.5891,0.0607
4,SMG1P5 | SNORD97 | CKMT2 | NR4A1,0.6497,0.5891,0.0606
4,SMG1P5 | NR4A1 | ENSG00000279656 | LOC112268270,0.6489,0.5473,0.1016
4,MAP3K2-DT | NR4A1 | ENSG00000279656 | LOC112268270,0.6455,0.5473,0.0982
4,SMG1P5 | ANGPT2 | MAP3K2-DT | ENSG00000279656,0.6447,0.5986,0.0461
4,SMG1P5 | MAP3K2-DT | NR4A1 | ENSG00000279656,0.6446,0.5473,0.0973
4,SMG1P5 | SNORD97 | CKMT2 | ENSG00000279656,0.6445,0.5891,0.0554
4,SMG1P5 | SNORD97 | TINAGL1 | NR4A1,0.6434,0.5698,0.0736
4,MAP3K2-DT | SNORD97 | CKMT2 | ENSG00000279656,0.6432,0.5891,0.0541
4,CKMT2 | NR4A1 | ENSG00000279656 | LOC112268270,0.6426,0.5891,0.0535
4,SMG1P5 | ANGPT2 | TINAGL1 | LOC112268270,0.6425,0.5986,0.0439
4,SMG1P5 | ANGPT2 | TINAGL1 | CKMT2,0.6421,0.5986,0.0435
4,SMG1P5 | ANGPT2 | TINAGL1 | NR4A1,0.642,0.5986,0.0434
4,SMG1P5 | SNORD97 | TINAGL1 | CKMT2,0.6419,0.5891,0.0528
4,ANGPT2 | SNORD97 | CKMT2 | NR4A1,0.6417,0.5986,0.0431
4,SMG1P5 | CKMT2 | NR4A1 | LOC112268270,0.6414,0.5891,0.0523
