n_features,mean_auc
412,0.994994745881449
413,0.9954582947278027
414,0.9951876793744774
415,0.9954936046643013
416,0.9948390996813631
417,0.9948410770378071
418,0.9945314795145872
419,0.9954560348918668
420,0.9943410883369868
421,0.9948402295993312
422,0.9949936159634811
423,0.9951478497661069
424,0.9949193238570879
425,0.9941481548439584
426,0.9942238593478114
427,0.9957277801631601
428,0.9944560574902264
429,0.9947215882126959
430,0.9942992813721723
431,0.9944927798241847
432,0.9943769632324694
433,0.9950303382974395
434,0.9951091500757044
435,0.9945328919120472
436,0.9949164990621681
437,0.9945306320761113
438,0.9949554812320626
439,0.9946840184402612
440,0.9946069015389482
441,0.9950317506948995
442,0.9950320331743916
443,0.9954563173713588
444,0.9944540801337822
445,0.995224684187928
446,0.9945326094325553
447,0.9950704503853022
448,0.9939942035208243
449,0.9951088675962125
450,0.9940309258547829
451,0.995148979684075
452,0.9944543626132741
453,0.9954173352014646
454,0.9942625590382139
455,0.9952636663578225
456,0.9943015412081083
457,0.9949170640211522
458,0.994030078416307
459,0.9946074664979323
460,0.9944916499062169
461,0.9941837472599488
462,0.9941834647804569
463,0.9947246954871076
464,0.9938385573207384
465,0.9945713091229577
466,0.9944916499062166
467,0.994105500440668
468,0.9941052179611759
469,0.9937992926713521
470,0.9946085964159004
471,0.9941857246163928
472,0.9945297846376352
473,0.9946865607556893
474,0.9944150979638877
475,0.9944936272626608
476,0.9942619940792298
477,0.9942227294298434
478,0.9931439402499379
479,0.995224119228944
480,0.9933391335789021
481,0.9948029423063884
482,0.9942614291202458
483,0.9949910736480531
