gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033),0.33769672945297724,1.0327363941773742,0.4163934426229508,0.47697440428781895,1.0,8/28,10.02%,ARHGAP24;UXT;YAP1;GDI2;TACSTD2;LIMK2;CAPZB;PFN2
GO_Biological_Process_2023,prerank,Positive Regulation Of Keratinocyte Differentiation (GO:0045618),0.4101973790535074,1.0326354892951013,0.41519434628975266,0.4769637878194694,1.0,5/12,23.96%,NME2;FOXC1;TRIM16;PRKCH;NCOA3
GO_Biological_Process_2023,prerank,"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.4209757466570283,1.0318806220973797,0.41935483870967744,0.47809441899370764,1.0,6/12,24.43%,LACTB2;RPP40;RPP30;ZC3H12C;RNASEH1;POP7
GO_Biological_Process_2023,prerank,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),-0.30421282765637725,-1.031123781615289,0.3547486033519553,0.773179262813463,1.0,11/29,13.83%,CBFA2T3;KAT2A;FLCN;HDAC4;GIT1;CLK2;ERFE;EP300;MST1;SIRT6;AP2A1
GO_Biological_Process_2023,prerank,Vesicle Cytoskeletal Trafficking (GO:0099518),0.31959847091752996,1.0309392954440615,0.415,0.4795824381848298,1.0,16/35,28.58%,RAB1A;APEX1;MYO1F;MYO1G;MYO1E;CLN3;FBXW11;WASL;FNBP1L;KIF5B;MYO1A;PAFAH1B1;MYO5B;MYO1C;MYO7B;MYO1D
GO_Biological_Process_2023,prerank,Peptidyl-Tyrosine Autophosphorylation (GO:0038083),-0.4165981190589911,-1.0309156603295748,0.40380047505938244,0.7702828198648003,1.0,4/11,15.40%,IGF1R;LTK;ABL1;PTK2B
GO_Biological_Process_2023,prerank,Regulation Of Gluconeogenesis (GO:0006111),-0.3064234493107435,-1.0307953816963487,0.4022038567493113,0.7671765646334419,1.0,11/30,13.25%,ZNF692;KAT2A;SIRT7;DGKQ;CLK2;ERFE;EP300;MST1;PDK2;SIRT6;GNMT
GO_Biological_Process_2023,prerank,Receptor Recycling (GO:0001881),0.37657758969913613,1.0304879083513232,0.40709459459459457,0.4801928319787658,1.0,5/16,13.13%,PEX2;PEX12;USP9X;PHETA2;SORL1
GO_Biological_Process_2023,prerank,Mitochondrial Transcription (GO:0006390),0.42908718391631706,1.029008727575942,0.43666666666666665,0.4826486639857236,1.0,5/12,15.53%,MTERF3;TFB2M;SLC25A33;TFAM;MRPL12
GO_Biological_Process_2023,prerank,Negative Regulation Of Cilium Assembly (GO:1902018),-0.38168585629412777,-1.0276137640297185,0.4117647058823529,0.7733795319069937,1.0,6/14,12.67%,CDK10;TCHP;EVI5L;KIF24;MPHOSPH9;TESK1
GO_Biological_Process_2023,prerank,Regulation Of Heart Contraction (GO:0008016),-0.26196217565640084,-1.027267188341788,0.3652173913043478,0.770927244890187,1.0,16/64,13.88%,RNF207;SPTBN4;KCNJ12;ATP2A1;CACNA1C;SLC8A2;CACNA1H;SLC4A3;ATP2B2;RYR2;TBX2;FOXN4;HCN4;KCNIP2;ATP2B3;ATP2A3
GO_Biological_Process_2023,prerank,Cellular Response To Fluid Shear Stress (GO:0071498),0.42177894765754514,1.0267391794387526,0.43197278911564624,0.4864503418849423,1.0,2/11,4.19%,HAS2;NFE2L2
GO_Biological_Process_2023,prerank,Positive Regulation Of Cytokinesis (GO:0032467),0.3202772344059366,1.0264150370917808,0.4165316045380875,0.48683531493962473,1.0,11/36,20.88%,RHOA;CDC42;KIF23;ECT2;CUL3;KIF14;RACGAP1;CDC14A;CDC14B;SVIL;RXFP3
GO_Biological_Process_2023,prerank,mRNA Transport (GO:0051028),0.29581309067521006,1.0260573485728208,0.4036697247706422,0.48726980597318165,1.0,23/55,25.56%,HHEX;SARNP;ZFP36L1;NCBP2;FYTTD1;SLBP;EIF4A3;MAGOH;THOC7;SRSF3;ZFP36;XPO1;RBM8A;NUP133;ALYREF;NXF3;TPR;NUP107;CHTOP;THOC2;HNRNPA2B1;MAGOHB;PEG10
GO_Biological_Process_2023,prerank,Protein Heterooligomerization (GO:0051291),-0.35062003080273774,-1.0253503753069058,0.4043583535108959,0.7733878154299523,1.0,5/18,13.38%,PKD1;TMEM120B;GRIN1;ZNF777;ZNF746
GO_Biological_Process_2023,prerank,Regulation Of Cell Morphogenesis (GO:0022604),0.33022973021771684,1.0244577001341961,0.4175824175824176,0.48994649475541285,1.0,7/31,9.53%,PDPN;CD44;FERMT2;SPARC;LARP4;CAPZB;CFL1
GO_Biological_Process_2023,prerank,Positive Regulation Of Potassium Ion Transmembrane Transport (GO:1901381),0.3821747520752923,1.023381763601374,0.42905405405405406,0.49173008460642414,1.0,7/16,25.97%,ANO6;ATP1B3;KCNQ1;FLNA;ATP1B1;ATP1B2;AKAP6
