Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
DisGeNET,Secondary malignant neoplasm of lung,1/683,0.0989956327157662,0.130651212944645,0,0,14.160557184750733,32.748830930022166,ANGPT2,down_in_ALS
DisGeNET,Neoplasm Metastasis,2/3920,0.1001742188597949,0.1314424721455112,0,0,8.207759060745278,18.88477663764186,CLDN5;ANGPT2,down_in_ALS
DisGeNET,Pancreatic Ductal Adenocarcinoma,1/701,0.101512139285451,0.1324325035505596,0,0,13.78357142857143,31.53097944485152,ANGPT2,down_in_ALS
DisGeNET,B-Cell Lymphomas,1/730,0.1055566478122375,0.1361440855305563,0,0,13.215363511659808,29.714844289451417,ANGPT2,down_in_ALS
DisGeNET,Leukemogenesis,1/730,0.1055566478122375,0.1361440855305563,0,0,13.215363511659808,29.714844289451417,ANGPT2,down_in_ALS
DisGeNET,Astrocytoma,1/741,0.1070875909509347,0.1373383228579784,0,0,13.011486486486486,29.06906829424709,ANGPT2,down_in_ALS
DisGeNET,Endometriosis,1/749,0.108199906213032,0.1379852736536981,0,0,12.866978609625669,28.613262518686334,ANGPT2,down_in_ALS
DisGeNET,Cardiovascular Diseases,1/787,0.1134707901509183,0.1438987115321702,0,0,12.220737913486005,26.594889985501872,ANGPT2,down_in_ALS
DisGeNET,Heart failure,1/815,0.1173412813246811,0.147682070566611,0,0,11.783169533169533,25.247428024507563,ANGPT2,down_in_ALS
DisGeNET,Psoriasis,1/818,0.1177553073680907,0.147682070566611,0,0,11.738066095471236,25.109442698669127,ANGPT2,down_in_ALS
DisGeNET,Stomach Neoplasms,1/835,0.1200990096922603,0.1490150667854612,0,0,11.488609112709833,24.349403861228385,ANGPT2,down_in_ALS
DisGeNET,Hepatitis B,1/839,0.1206498651780717,0.1490150667854612,0,0,11.431384248210025,24.175807062779253,ANGPT2,down_in_ALS
DisGeNET,Endometrial Carcinoma,1/840,0.1207875431212549,0.1490150667854612,0,0,11.417163289630512,24.13271057759705,ANGPT2,down_in_ALS
DisGeNET,Glioblastoma Multiforme,1/854,0.1227135256140849,0.1505728125102555,0,0,11.221570926143023,23.541763945732946,ANGPT2,down_in_ALS
DisGeNET,Congestive heart failure,1/884,0.1268311555140857,0.1547885607618142,0,0,10.823329558323897,22.349077632514184,ANGPT2,down_in_ALS
DisGeNET,Coronary heart disease,1/913,0.1307992644912101,0.1587777167887952,0,0,10.463267543859647,21.2832431874178,ANGPT2,down_in_ALS
DisGeNET,ovarian neoplasm,1/938,0.134210383757381,0.1620518995368377,0,0,10.17075773745998,20.4264075574529,ANGPT2,down_in_ALS
DisGeNET,"Diabetes Mellitus, Insulin-Dependent",1/956,0.1366608556981141,0.1641376414998513,0,0,9.969633507853404,19.842092281467515,ANGPT2,down_in_ALS
DisGeNET,Coronary Artery Disease,1/981,0.1400566121164125,0.1673307944759244,0,0,9.702551020408164,19.07238765140495,ANGPT2,down_in_ALS
DisGeNET,Breast Carcinoma,2/4963,0.1541594129215657,0.1824934746832434,0,0,6.061681112678896,11.333937753330702,CLDN5;ANGPT2,down_in_ALS
DisGeNET,Arteriosclerosis,1/1087,0.1543557142695275,0.1824934746832434,0,0,8.706721915285451,16.26847078126168,ANGPT2,down_in_ALS
DisGeNET,Multiple Sclerosis,1/1106,0.1569018891206836,0.184542636426918,0,0,8.54841628959276,15.832817405905292,CLDN5,down_in_ALS
